Panel No.,Panel Title,Paper ID,Paper Title,Authors,Keywords,Time Zone,Limitations,Scheduled?
1,Digital Infrastructures,167,Language as Infrastructure: From Manuscript to Deep Learning,"Ghosh, Arjun","multilingualism, digital humanities, language infrastructure, deep learning OCR, South Asian scripts",UCT+4,,TRUE
1,Digital Infrastructures,153,"Emergency Digitisation, Emergent Standards: Documenting AI Limits in Multilingual Cultural Heritage","KALITA, UDDIPANA","Responsible AI, digital cultural heritage, multilingualism, knowledge infrastructures, digitisation policy",UTC+5:30,Cannot do: 24 June 2026 during the following time: 09:00 AM – 12:30 PM BST (1:30 PM – 5:00 PM IST),TRUE
1,Digital Infrastructures,201,Leveraging Sparse Visual Data for Historical Insight: Forensic Reconstructions of Wartime Exhibitions in WWII China,"Du, Lin (1); Le, Brandon (2); Kong, Deqian (2)","computer vision, super resolution, visual reconstruction, exhibition, spectatorship",UTC+8,,TRUE
2,Data Sovereignty,103,How to Explain Indigenous Soil to a Blind Satellite: Atmospheric Noise as Digital Honey and Hauntological Mediumâ€”A Critical Approach to Decolonial DH Practice,"Tsai, Meng-Chieh","Decolonial Digital Humanities, Sonification, Indigenous Data Sovereignty, Hauntology, InSAR",UTC+7,,TRUE
2,Data Sovereignty,144,Data Colonialism as Epistemic Emergency: Large Language Models and Linguistic Sovereignty of Indigenous Communities,"Kwok, Jenny C.Y.","Data colonialism, Large Language Models, Indigenous data sovereignty, minority languages, cultural preservation",UTC+1,,TRUE
2,Data Sovereignty,198,Emergent Digital Humanities: Meme Scholarship from the Global South as Method,"Jyoti, Jyoti","Digital Humanities, Global South, Meme Studies, Performativity, Platform Infrastructures, Multilingual Digital Cultures",UTC+05:30,I will be unavailable on 25-06-2026 and 26-06-2026,TRUE
3,Accessibility and Sustainability in the Archive,109,Sustainability and Accessibility at the University of Nebraska-Lincoln's CDRH,"Chambers, Erin Kay; Dalziel, Karin; Dewey, William; Gray, Nicole; Tunink, Greg","sustainability, accessibility, preservation, strategic planning",UTC-5,,TRUE
3,Accessibility and Sustainability in the Archive,173,The Archive ENDURS: Accessible Archives and Title II,"Kemper, Cori; Muller, Jacob; Boyles, Christina","archives, accessibility, usability, ADA, multilingual",UTC-4,"Not Friday, June 26",TRUE
3,Accessibility and Sustainability in the Archive,199,DH Moves Toward Shared Accountability for Digital Accessibility,"Herrmann, Amalia","access, disability, pedagogy",UTC-7,,TRUE
4,Community-Engaged DH Practices,105,Digital Ethnography and/as Digital Humanities,"Vigilante, Nic","ethnography, reflexivity, emergence, methodology, pedagogy",UTC-4,"Unavailable on Friday, June 26 after 2:00pm Eastern",TRUE
4,Community-Engaged DH Practices,170,The Anti-Racist Digital Research Institute: Sharing Five Years of Practice and Building What Comes Next,"Topham, Kate; Bauer, Joe; Carruthers, Matthew; Thiels, John; Zephir, Stephanie","Anti-Racist Praxis, Project Support, Digital Scholarship Pedagogy, Community-Engaged practices",UTC-4,Not 1-4pm on June 24,TRUE
4,Community-Engaged DH Practices,157,"Sensing Revolutions: Reframing Protest through Critical, Multisensory Digital Humanities","Ismail, Mariam (1); Maria ArÄƒÅŸ, Roxana (2)","Digital Storytelling, Ethnography, Public Pedagogy, Critical Digital Humanities, Multisensory Protest",UTC-4,,TRUE
5,Computational Textual Analysis,128,Detecting a â€œCrazy Rich Asiansâ€ Effect: Computational Text Analysis of Malaysian Anglophone Novels,"Thong, Carmen","computational literary studies, postcolonial literature, Southeast Asia",UTC-7,,TRUE
